s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR
 4.5000089E+002, 0.0000000E+000, 0.0000000E+000, 4.2840993E-001,-2.4454163E+000, 1.3174162E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7384708E-001,-6.9959015E-001, 9.3310916E-007
 4.8000235E+002, 0.0000000E+000, 0.0000000E+000, 4.4512667E-001,-2.2969622E+000, 1.3729960E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5642773E-001,-4.7883951E-001,-1.0450067E-006
 5.1000000E+002, 0.0000000E+000, 0.0000000E+000, 4.5385396E-001,-2.1365686E+000, 1.4188542E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3894693E-001,-2.6386051E-001, 1.0992653E-006
 5.4000305E+002, 0.0000000E+000, 0.0000000E+000, 4.5807713E-001,-2.0866803E+000, 1.3910493E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2550145E-001,-2.3755396E-001, 1.5364714E-006
 5.7000073E+002, 0.0000000E+000, 0.0000000E+000, 4.6117594E-001,-2.0447767E+000, 1.4612701E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7703163E-002,-1.2233068E-001,-3.3670652E-008
 6.0000378E+002, 0.0000000E+000, 0.0000000E+000, 4.6155606E-001,-2.0501948E+000, 1.4545683E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.2167975E-002,-1.3407037E-001, 7.2785013E-005
 6.3000146E+002, 0.0000000E+000, 0.0000000E+000, 4.6158739E-001,-2.1694931E+000, 1.5733583E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1614762E-001,-1.3454742E-001, 9.1023953E-003
 6.6000494E+002, 0.0000000E+000, 0.0000000E+000, 4.6183651E-001,-2.3229454E+000, 1.6793599E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5116083E-001,-1.8174902E-001, 2.2770278E-006
 6.9000061E+002, 0.0000000E+000, 0.0000000E+000, 4.6284868E-001,-2.3494977E+000, 1.7588409E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4683879E-002,-1.2780812E-001,-3.4975659E-006
 7.2000354E+002, 0.0000000E+000, 0.0000000E+000, 4.6457263E-001,-2.3743658E+000, 1.7609676E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5626074E-001,-1.4882555E-001,-9.0012181E-007
 7.5000275E+002, 0.0000000E+000, 0.0000000E+000, 4.6630941E-001,-2.3906064E+000, 1.7528127E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5566846E-001,-1.7148424E-001,-1.6718673E-007
